fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.1875,0.48405152633679766,0.13341375313275494,0.38253472053044735,0.007488320630042554,0.005157526602531967,0.007391482399284475
0.1875,0.593967217685225,0.16115652211244855,0.2448762602023263,0.0075348587153601125,0.005643876976081783,0.00655796905622833
fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.1875,0.48435655558303947,0.13357188624164057,0.38207155817531996,0.007692694895561735,0.005149458441184539,0.007631090348479208
0.1875,0.5944162552781654,0.16070061656887044,0.24488312815296404,0.007773622300132411,0.005673426135389484,0.006785145456273431
0.1875,0.5689431538034536,0.17482845591171067,0.2562283902848358,0.007947295282409929,0.006030021708348504,0.006893366352714882
fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.1875,0.4846640936125264,0.13343317500278928,0.3819027313846844,0.007781136406166003,0.005330574886803627,0.007688494739893128
0.1875,0.5941765938009953,0.16101594191677626,0.24480746428222847,0.0076259479664690525,0.0057935458331184915,0.006624764579331379
0.1875,0.5686342495765482,0.17472271677281148,0.2566430336506403,0.008273915367864015,0.006368080295214452,0.0072707172287253714
fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.1875,0.48427594035482807,0.13370848668942578,0.3820155729557461,0.0076673184130863145,0.005159189847630889,0.007525955250116531
0.1875,0.5941517158195387,0.1610596737756113,0.24478861040485,0.007395092807416717,0.00567137563476804,0.006496903754898226
0.1875,0.5689177259499618,0.1747093882447076,0.25637288580533063,0.007986341413817653,0.005941532099544793,0.006871228033767032
