fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.0,0.41089342967018205,0.01893087140038703,0.5701756989294309,0.00937614965932522,0.0026791058136702572,0.00939585780559033
0.1875,0.20189613549053198,0.17068405177272314,0.627419812736745,0.008014086882341453,0.007357115380250695,0.009471755959834387
0.375,0.2897967511092396,0.37167488288807815,0.33852836600268216,0.009392833504289207,0.010304949270428986,0.010264742463903234
0.5625,0.20830733848303498,0.5465142582487323,0.24517840326823262,0.007997315778212293,0.009869501539725115,0.008367511393889054
0.75,0.04875193958486976,0.7401690630993152,0.21107899731581503,0.004118662177240062,0.00859697195619777,0.00784749911676354
0.0,0.5657666877988643,0.01593216161068273,0.418301150590453,0.011066997922958831,0.0027848602001878824,0.01105858125095295
0.1875,0.3435761568804751,0.17165724158977763,0.4847666015297472,0.009358528218480945,0.0075449372811315935,0.010090146491903521
0.375,0.2543338883905926,0.36941116696173076,0.3762549446476766,0.008610418532427234,0.009496057207395143,0.009248514496970504
0.5625,0.2349536295708491,0.5532699394615955,0.21177643096755533,0.008938330106460623,0.010444178110797007,0.008556069535297235
0.75,0.07728106559059889,0.7164233249352466,0.20629560947415446,0.005640300083257406,0.009718726182331737,0.008652662842660218
0.0,0.5630055094681216,0.005673209648466409,0.43132128088341193,0.010859809564722683,0.0016811128579622978,0.010823211678175829
0.1875,0.37182860703044174,0.18983810272986962,0.43833329023968864,0.010126703241093231,0.008437512602715726,0.010478878799724823
0.375,0.17414137434492036,0.3937810707904986,0.432077554864581,0.009324781915929756,0.011340428283470264,0.012064634415412204
0.5625,0.08986844080862073,0.5521852036438544,0.35794635554752485,0.006222457487181956,0.010483182518570913,0.010234675907607212
0.75,0.13436523056021088,0.7251784520561815,0.1404563173836076,0.006675016246656176,0.0087788842323828,0.006930936385899601
0.0,0.46694128289189,0.005079746404920746,0.5279789707031892,0.01119151984733979,0.0015484478272964272,0.011223935633717345
0.1875,0.4540218253281965,0.19066811187646437,0.35531006279533917,0.0115835308454233,0.008912403913594009,0.011140117721129897
0.375,0.34504293043355266,0.38463033163041527,0.27032673793603207,0.011038263912110156,0.01084624382670419,0.01020468076972856
0.5625,0.20398454595253504,0.5761001695636107,0.21991528448385436,0.008830053956637586,0.010707017062784208,0.008908370580544455
0.75,0.14644945935525272,0.7015215147939907,0.1520290258507565,0.007634140688135693,0.009671742355091158,0.007492520994441332
0.0,0.6394985062519121,0.010861000939352532,0.3496404928087355,0.01104840548297908,0.002261333098292397,0.010946586019269365
0.1875,0.43508485021907894,0.1804779638775481,0.384437185903373,0.011619705603483904,0.008781061091998766,0.011284381679234663
0.375,0.31789099726429876,0.38875492942527706,0.2933540733104243,0.010262859555384708,0.010035484652660825,0.010039146000307517
0.5625,0.16297966852330367,0.5323507819323947,0.30466954954430164,0.008197871499292568,0.011197527702610923,0.01027572609052673
0.75,0.13567380048571828,0.7359257718000374,0.1284004277142444,0.007149667238052567,0.00916033919045957,0.0072757940915872356
