fixed rate,success rate,failure rate,error rate,success std,failure std,error std
0.0,0.8309617831376234,0.0,0.16903821686237663,0.012075251962452275,0.0,0.012075251962452273
0.1875,0.6777522679501243,0.18436836723075611,0.13787936481911958,0.014523262965571207,0.01204059477207819,0.011323642647583902
0.375,0.529077000606313,0.3729076375967048,0.09801536179698203,0.015010189353718662,0.014751777412807634,0.00919617116212774
0.5625,0.3884176304782372,0.5609264019282764,0.05065596759348642,0.016329028513145497,0.01649149854902432,0.007010528409930433
0.75,0.243238789536634,0.7477648117132699,0.008996398750096163,0.01378119560694237,0.013862555206615635,0.0029693604661544188
0.0,0.8304468935033226,0.0,0.1695531064966774,0.012209748658573934,0.0,0.012209748658573936
0.1875,0.690850222915705,0.18543735317220142,0.12371242391209361,0.014719327674215498,0.012618981182110143,0.010262208505904313
0.375,0.5252075355951354,0.37274717549965763,0.10204528890520684,0.015623126738357626,0.015446849104563655,0.009423671382415571
0.5625,0.3930218398333042,0.5595736432150376,0.04740451695165826,0.015236109851397422,0.015781885826438743,0.006711786893419597
0.75,0.2416187095440369,0.7465882925698051,0.01179299788615798,0.013536814997008546,0.013658455499042788,0.0035070972001842874
0.0,0.8305082190214836,0.0,0.16949178097851625,0.011908721930181632,0.0,0.011908721930181632
0.1875,0.6754456728845721,0.18553974943982018,0.1390145776756076,0.014834295286365541,0.012285202980628294,0.010880190137628816
0.375,0.5188192328443981,0.3732068458995265,0.10797392125607529,0.015109925452722665,0.015212782562881002,0.0099713983604907
0.5625,0.3942966652610223,0.5595921191482471,0.04611121559073052,0.015789707538286134,0.015534846314511215,0.006566539988948997
0.75,0.24209024426842748,0.7476038350274204,0.010305920704152009,0.013341532532107389,0.013533094584008613,0.003288439537626139
0.0,0.8313478434402802,0.0,0.16865215655971974,0.012746580601992468,0.0,0.01274658060199247
0.1875,0.6967243655288121,0.1858460614197206,0.11742957305146726,0.015101586877458655,0.012339416328033632,0.010376524191196716
0.375,0.5301596610207904,0.3729151893760346,0.09692514960317504,0.015290394122989659,0.015177673631284338,0.009561125974194565
0.5625,0.38025210736888554,0.5610017556153188,0.0587461370157955,0.015151393324887989,0.015644439219918635,0.007318851002456498
0.75,0.24569678286330815,0.7490049624657631,0.005298254670928679,0.013161065530954419,0.013272409731531383,0.002251740082390133
0.0,0.8308495138629863,0.0,0.16915048613701356,0.012086608398261724,0.0,0.012086608398261724
0.1875,0.6988816725591321,0.18558914169274215,0.11552918574812561,0.014355531236086166,0.012282211890531695,0.010324244332582373
0.375,0.5021974755243654,0.3730456879105568,0.12475683656507772,0.015426563200145585,0.014826121485745013,0.010619154620552912
0.5625,0.39192928136686905,0.5601398805202666,0.047930838112864305,0.015423520817014917,0.015563410316446027,0.00647608190459886
0.75,0.24158914945154014,0.7477534474990368,0.010657403049423054,0.013444645203969267,0.013554631453667398,0.003235319257839427
0.0,0.8313470938593864,0.0,0.16865290614061362,0.01145969016142156,0.0,0.01145969016142156
0.1875,0.6887931403469293,0.18568460931164038,0.12552225034143036,0.014944689064769335,0.012745410039181929,0.010550871731253082
0.375,0.46975067374288004,0.3741132605741498,0.15613606568297017,0.015887848142813445,0.015503632312924363,0.011586990410429364
0.5625,0.39069091704341874,0.5612295090282746,0.04807957392830661,0.01579099922949094,0.01610739530160141,0.006904183382518117
0.75,0.250329120976038,0.748421690754972,0.0012491882689899846,0.013549910355780985,0.013516621647675777,0.0011098928892226214
0.0,0.8309991310944316,0.0,0.16900086890556837,0.011725145121701969,0.0,0.011725145121701969
0.1875,0.6795656187249888,0.18504438061219236,0.13539000066281887,0.014831131197250557,0.012665982649359621,0.010620231856612835
0.375,0.5425732259760934,0.3729947490978408,0.08443202492606589,0.01542274041168383,0.014745082377893765,0.008657069084339927
0.5625,0.39440888947952135,0.5598358840595202,0.04575522646095838,0.015514956573889356,0.015953505960488213,0.006552728353772155
0.75,0.24088458093157766,0.7474612774761813,0.011654141592241039,0.014145698207984173,0.014195587188845022,0.0034569949781412617
0.0,0.8309166314021929,0.0,0.1690833685978072,0.011693234994544622,0.0,0.011693234994544622
0.1875,0.6877586536966177,0.18632397588072291,0.1259173704226594,0.014559527599805142,0.012626824058653069,0.01031710440238893
0.375,0.5530363012619703,0.3722503952561274,0.07471330348190218,0.01591594802598983,0.01529393197091942,0.008470542860391386
0.5625,0.37436751946903013,0.5591842209227382,0.0664482596082316,0.01480100609452523,0.01514179013084663,0.007776249868856479
0.75,0.24308010476985428,0.7477168641662163,0.009203031063929355,0.013677548749825115,0.013842611201111561,0.003118740108575016
0.0,0.831469945326805,0.0,0.16853005467319496,0.011703081109054709,0.0,0.01170308110905471
0.1875,0.683531647429558,0.18491414461749783,0.13155420795294406,0.014816706408481985,0.012485148207966324,0.010573427230139036
0.375,0.5291171063390204,0.37263960389011513,0.09824328977086447,0.01588571768368604,0.015343237666233389,0.00952228346996847
0.5625,0.3812946392132633,0.5603251187396033,0.05838024204713336,0.015500359815385717,0.01574340477568529,0.00735380874857756
0.75,0.24362649544576617,0.7475663584292321,0.00880714612500172,0.013289000017452982,0.01327913372112269,0.002910107941943054
0.0,0.8303628017890597,0.0,0.1696371982109403,0.011823556650387597,0.0,0.011823556650387597
0.1875,0.6815170832842004,0.18526857757799667,0.133214339137803,0.014447373943652501,0.012168161641536246,0.010945983361853075
0.375,0.5401853630966248,0.37382123631390657,0.08599340058946865,0.01523496222604891,0.014640479989972423,0.008926043930041486
0.5625,0.3960837173719812,0.5604633373496402,0.043452945278378695,0.01556089507007892,0.015764103350561432,0.006384542079245523
0.75,0.2471998821390725,0.7485925176197127,0.004207600241214824,0.013228614412086706,0.01327932532543568,0.0020086505555152643
0.0,0.8304372472392849,0.0,0.16956275276071506,0.01170807552747633,0.0,0.01170807552747633
